"PLCP";"PLCP";"Sampled (16)";"Sampled (16)";"Sampled (32)";"Sampled (32)";"Sampled (64)";"Sampled (64)";"Locate";"Locate"
101,19494;15,4975;201,7354;7,45437;153,5222;15,3499;128,4866;31,0828;99,2504;15,4975
54,24574;31,4768;154,7862;7,45437;106,573;15,3499;81,5374;31,0828;52,3012;31,4768
30,92424;63,4489;131,4647;7,45437;83,2515;15,3499;58,2159;31,0828;28,9797;63,4489
19,23484;127,251;119,7753;7,45437;71,5621;15,3499;46,5265;31,0828;17,2903;127,251
