"PLCP";"PLCP";"Sampled (8)";"Sampled (8)";"Sampled (16)";"Sampled (16)";"Locate";"Locate"
712,156;3,49817;782,977;2,21664;765,019;3,22776;588,718;3,49817
523,897;7,49512;594,718;2,21664;576,76;3,22776;400,459;7,49512
429,356;15,489;500,177;2,21664;482,219;3,22776;305,918;15,489
382,224;31,5036;453,045;2,21664;435,087;3,22776;258,786;31,5036
