data,struct,K,# nodes,# edges,dsk time (s),sort time (s),build time (s),W (MB),L (MB),LCS (MB),# queries,backward mean time (ns),forward  mean time (ns),lastchar mean time (ns),shorter1 mean (ns),shorter2 (ns) mean,shorter4 mean (ns),shorter8 mean (ns),longer1 mean (ns),longer2 mean (ns),longer4 mean (ns),longer8 mean (ns),maxlen mean (ns),maxlen* mean (ns)
chrom14,hyper,56,1624442199,1651477269,3527.2533333333336,11017.234666666665,1146.6026666666667,385.67800000000005,28.260499999999997,413.939,20000,303214.3333333333,88028.73333333334,0.01165,60329.833333333336,47252.4,51590.9,26583233.333333332,114120.86666666665,203376.0,1304543.3333333333,20459033.333333332,35291.333333333336,7571.836666666666
chrom14,standard,56,1624442199,1651477269,3527.2533333333336,8883.766,318.1743333333333,385.67800000000005,28.260499999999997,,20000,55187.30000000001,45372.666666666664,0.01545,,,,,,,,,,
ecoli,hyper,28,528581516,548545502,1765.6333333333332,1152.5243333333335,344.2203333333334,142.878,19.774,257.483,20000,303746.0,80453.16666666667,0.0123,48882.4,36705.43333333333,45802.299999999996,12741233.333333334,95752.7,216345.66666666666,1837610.0,18064300.0,31857.366666666665,7583.423333333333
ecoli,standard,28,528581516,548545502,1765.6333333333332,1020.8593333333333,115.78500000000001,142.878,19.774,,20000,40382.299999999996,28282.833333333332,0.00895,,,,,,,,,,
