"Index";"Size (MB)";"Locate (µs / occurrence)"
"RLCSA";137,706;9,72
"RLCSA";89,4529;19,18
"RLCSA";65,4569;38,44
"RLCSA";53,4077;76,37
"RLCSA-OPT";137,706;2,32
"RLCSA-OPT";89,4529;4,27
"RLCSA-OPT";65,4569;8,89
"RLCSA-OPT";53,4077;19,80
"Sad-CSA";149,88;6,95
"Sad-CSA";122,70;12,76
"Sad-CSA";109,11;24,75
"Sad-CSA";102,31;50,86
